ID,Run,Sequence_Length,Graph_Type,MSE,Predicted_Values,True_Values,Rescaled_Errors,Normalized_Errors
1,1,5,gnn_learned,1823.8271,"[7952.210243225098, 7864.889404296875, 3614.3862648010254, 4635.669143676758, 1822.4690437316895, 3045.9219360351562, 3072.15482711792, 6362.585250854492, 4892.757392883301, 8900.69937133789]","[1581.0, 9314.0, 8184.0, 197.0, 3075.0, 8259.0, 1340.0, 2548.0, 7955.0, 3726.0]","[6371.210243225098, -1449.110595703125, -4569.613735198975, 4438.669143676758, -1252.5309562683105, -5213.078063964844, 1732.15482711792, 3814.585250854492, -3062.242607116699, 5174.699371337891]","[68.50763702392578, -15.094902038574219, -49.1356315612793, 45.75947570800781, -13.468074798583984, -54.302894592285156, 19.462413787841797, 38.924339294433594, -31.56951141357422, 52.80305480957031]"
1,2,5,gnn_learned,1792.8457,"[7520.74422454834, 7996.994140625, 3727.31103515625, 5045.4851150512695, 1872.2561359405518, 3084.62255859375, 2993.916213989258, 6615.588424682617, 5066.0885009765625, 8947.362869262695]","[1581.0, 9314.0, 8184.0, 197.0, 3075.0, 8259.0, 1340.0, 2548.0, 7955.0, 3726.0]","[5939.74422454834, -1317.005859375, -4456.68896484375, 4848.4851150512695, -1202.7438640594482, -5174.37744140625, 1653.9162139892578, 4067.588424682617, -2888.9114990234375, 5221.362869262695]","[63.86821746826172, -13.71881103515625, -47.92138671875, 49.98438262939453, -12.932729721069336, -53.89976501464844, 18.583328247070312, 41.506004333496094, -29.7825927734375, 53.279212951660156]"
1,3,5,gnn_learned,1724.3073,"[7611.6425857543945, 7867.43017578125, 3651.866672515869, 4537.787372589111, 1716.4423599243164, 2752.9969482421875, 2823.869529724121, 6200.901550292969, 4982.884906768799, 8450.874496459961]","[1581.0, 9314.0, 8184.0, 197.0, 3075.0, 8259.0, 1340.0, 2548.0, 7955.0, 3726.0]","[6030.6425857543945, -1446.56982421875, -4532.133327484131, 4340.787372589111, -1358.5576400756836, -5506.0030517578125, 1483.869529724121, 3652.9015502929688, -2972.115093231201, 4724.874496459961]","[64.84561920166016, -15.068435668945312, -48.73261642456055, 44.75038528442383, -14.608146667480469, -57.35419845581055, 16.672691345214844, 37.274505615234375, -30.640361785888672, 48.21300506591797]"
1,4,5,gnn_learned,1681.2367,"[7536.146781921387, 8193.6318359375, 3951.707450866699, 4933.7773361206055, 2107.4883728027344, 3276.897216796875, 3634.6215591430664, 6393.755310058594, 5382.3220291137695, 8537.510498046875]","[1581.0, 9314.0, 8184.0, 197.0, 3075.0, 8259.0, 1340.0, 2548.0, 7955.0, 3726.0]","[5955.146781921387, -1120.3681640625, -4232.292549133301, 4736.7773361206055, -967.5116271972656, -4982.102783203125, 2294.6215591430664, 3845.7553100585938, -2572.6779708862305, 4811.510498046875]","[64.0338363647461, -11.670501708984375, -45.508522033691406, 48.83275604248047, -10.403350830078125, -51.89690399169922, 25.782264709472656, 39.242401123046875, -26.52245330810547, 49.0970458984375]"
1,5,5,gnn_learned,1581.4119,"[6783.41455078125, 7421.8701171875, 3509.171642303467, 4127.771587371826, 1820.2835025787354, 2649.0913696289062, 2452.823890686035, 6041.456405639648, 4416.12589263916, 7851.891067504883]","[1581.0, 9314.0, 8184.0, 197.0, 3075.0, 8259.0, 1340.0, 2548.0, 7955.0, 3726.0]","[5202.41455078125, -1892.1298828125, -4674.828357696533, 3930.771587371826, -1254.7164974212646, -5609.908630371094, 1112.8238906860352, 3493.4564056396484, -3538.87410736084, 4125.891067504883]","[55.93994140625, -19.709686279296875, -50.266971588134766, 40.52341842651367, -13.491575241088867, -58.436546325683594, 12.503639221191406, 35.64751434326172, -36.483238220214844, 42.100929260253906]"
1,6,5,gnn_learned,1768.441,"[8023.39421081543, 7721.177978515625, 3950.810245513916, 4861.250831604004, 2161.3804721832275, 3148.4425048828125, 3126.468307495117, 6705.6846923828125, 4868.259845733643, 8195.860061645508]","[1581.0, 9314.0, 8184.0, 197.0, 3075.0, 8259.0, 1340.0, 2548.0, 7955.0, 3726.0]","[6442.39421081543, -1592.822021484375, -4233.189754486084, 4664.250831604004, -913.6195278167725, -5110.5574951171875, 1786.4683074951172, 4157.6846923828125, -3086.7401542663574, 4469.860061645508]","[69.27305603027344, -16.591896057128906, -45.51816940307617, 48.085060119628906, -9.82386589050293, -53.2349739074707, 20.072677612304688, 42.42535400390625, -31.822063446044922, 45.610816955566406]"
1,7,5,gnn_learned,1714.8561,"[7331.962852478027, 7553.450439453125, 3644.8720893859863, 4294.009304046631, 1815.5104694366455, 2875.1434936523438, 2679.5943927764893, 6397.7957763671875, 4542.239139556885, 8612.151458740234]","[1581.0, 9314.0, 8184.0, 197.0, 3075.0, 8259.0, 1340.0, 2548.0, 7955.0, 3726.0]","[5750.962852478027, -1760.549560546875, -4539.127910614014, 4097.009304046631, -1259.4895305633545, -5383.856506347656, 1339.5943927764893, 3849.7957763671875, -3412.7608604431152, 4886.151458740234]","[61.83831024169922, -18.33905792236328, -48.80782699584961, 42.23720932006836, -13.542898178100586, -56.08184051513672, 15.05162239074707, 39.28363037109375, -35.183101654052734, 49.85868835449219]"
1,8,5,gnn_learned,1703.3307,"[7248.918319702148, 7572.17041015625, 3716.729404449463, 4401.733016967773, 1923.629035949707, 2977.4558715820312, 3327.6767387390137, 6494.069381713867, 4898.403614044189, 8636.00471496582]","[1581.0, 9314.0, 8184.0, 197.0, 3075.0, 8259.0, 1340.0, 2548.0, 7955.0, 3726.0]","[5667.918319702148, -1741.82958984375, -4467.270595550537, 4204.733016967773, -1151.370964050293, -5281.544128417969, 1987.6767387390137, 3946.069381713867, -3056.5963859558105, 4910.00471496582]","[60.94535827636719, -18.144058227539062, -48.0351676940918, 43.34776306152344, -12.380332946777344, -55.016082763671875, 22.333446502685547, 40.266014099121094, -31.511302947998047, 50.102088928222656]"
1,9,5,gnn_learned,1743.792,"[7792.6857833862305, 8196.1015625, 4202.914661407471, 4999.724414825439, 2228.0127811431885, 3276.2376708984375, 2999.939765930176, 6636.179550170898, 5032.593040466309, 8897.209945678711]","[1581.0, 9314.0, 8184.0, 197.0, 3075.0, 8259.0, 1340.0, 2548.0, 7955.0, 3726.0]","[6211.6857833862305, -1117.8984375, -3981.0853385925293, 4802.724414825439, -846.9872188568115, -4982.7623291015625, 1659.9397659301758, 4088.1795501708984, -2922.4069595336914, 5171.209945678711]","[66.79232025146484, -11.644775390625, -42.807369232177734, 49.51262283325195, -9.107389450073242, -51.90377426147461, 18.65100860595703, 41.71611785888672, -30.127906799316406, 52.76744842529297]"
1,10,5,gnn_learned,1695.4319,"[7398.922256469727, 7577.9462890625, 3803.291805267334, 4746.153617858887, 1913.7867393493652, 2913.2164306640625, 3126.631950378418, 6328.2554931640625, 4892.249717712402, 8270.91748046875]","[1581.0, 9314.0, 8184.0, 197.0, 3075.0, 8259.0, 1340.0, 2548.0, 7955.0, 3726.0]","[5817.922256469727, -1736.0537109375, -4380.708194732666, 4549.153617858887, -1161.2132606506348, -5345.7835693359375, 1786.631950378418, 3780.2554931640625, -3062.7502822875977, 4544.91748046875]","[62.55830383300781, -18.083892822265625, -47.10438919067383, 46.89849090576172, -12.486164093017578, -55.685245513916016, 20.07451629638672, 38.57403564453125, -31.574745178222656, 46.376708984375]"
